,Unnamed: 0,Id,Cultivo,Longitud,Latitud,Elevacion,Dataset,Campania,GlobalId,CultivoId,Tipo,class_idx
17,17,39,P,-62.08897942458506,-33.77395031991701,102.068436,BC,18/19,39,9,"FORRAJES, PASTURAS, VERDEOS",7
18,18,45,M,-62.037396561406155,-33.74570708551937,97.011208,BC,18/19,45,3,MAIZ TEMP,2
19,19,46,S,-62.03952703207393,-33.74407034842987,97.011208,BC,18/19,46,1,SOJA 1,0
20,20,49,N,-62.14194014651103,-33.87944788148834,110.792633,BC,18/19,49,10,CAMPO NATURAL,8
21,21,52,M,-62.141801202771816,-33.884907739368664,108.525276,BC,18/19,52,3,MAIZ TEMP,2
22,22,54,S,-62.13675291358079,-33.88840647867912,108.292007,BC,18/19,54,1,SOJA 1,0
23,23,55,N,-62.13087096195458,-33.886714798468226,106.845757,BC,18/19,55,10,CAMPO NATURAL,8
24,24,57,S,-62.146478975324975,-33.87075752803805,113.059998,BC,18/19,57,1,SOJA 1,0
25,25,60,S,-62.14620108784658,-33.8759872272956,108.627914,BC,18/19,60,1,SOJA 1,0
26,26,61,N,-62.14184751735156,-33.87617948954359,110.80196399999998,BC,18/19,61,10,CAMPO NATURAL,8
27,27,62,N,-62.145784256628964,-33.875179721124226,110.80196399999998,BC,18/19,62,10,CAMPO NATURAL,8
28,28,64,S,-62.147822098137254,-33.87825589422206,107.274963,BC,18/19,64,1,SOJA 1,0
29,29,65,N,-62.1231827417187,-33.89413487386679,108.609253,BC,18/19,65,10,CAMPO NATURAL,8
30,30,66,M,-62.12179330432666,-33.89809454630533,108.609253,BC,18/19,66,3,MAIZ TEMP,2
31,31,69,M,-62.11975546281838,-33.90170806748167,107.06968700000002,BC,18/19,69,3,MAIZ TEMP,2
32,32,70,M,-62.12276591050109,-33.89897871989309,107.06968700000002,BC,18/19,70,3,MAIZ TEMP,2
33,33,71,M,-62.12049649609412,-33.905513631651715,104.382454,BC,18/19,71,3,MAIZ TEMP,2
34,34,72,S,-62.12438692079178,-33.90916527593218,104.382454,BC,18/19,72,1,SOJA 1,0
35,35,73,N,-62.12975941204094,-33.89167440226404,106.855087,BC,18/19,73,10,CAMPO NATURAL,8
36,36,74,M,-62.13383509505756,-33.89321220533399,106.855087,BC,18/19,74,3,MAIZ TEMP,2
37,37,75,M,-62.127767885112384,-33.89359665176907,105.67009,BC,18/19,75,3,MAIZ TEMP,2
38,38,76,M,-62.1307783327951,-33.89578796335753,105.67009,BC,18/19,76,3,MAIZ TEMP,2
39,39,77,M,-62.12605424566221,-33.89655683127237,106.481857,BC,18/19,77,3,MAIZ TEMP,2
40,40,78,M,-62.12906469334493,-33.89828675873475,106.481857,BC,18/19,78,3,MAIZ TEMP,2
41,41,79,M,-62.125313212386466,-33.897633234707016,106.715126,BC,18/19,79,3,MAIZ TEMP,2
42,42,80,N,-62.12387746041472,-33.90005509275592,106.715126,BC,18/19,80,10,CAMPO NATURAL,8
43,43,81,M,-62.204650087471045,-33.86064330361107,111.80968500000002,BC,18/19,81,3,MAIZ TEMP,2
44,44,82,S,-62.20705844561722,-33.86564287989032,111.80968500000002,BC,18/19,82,1,SOJA 1,0
45,45,83,M,-62.20006494407736,-33.86133557009505,112.518814,BC,18/19,83,3,MAIZ TEMP,2
46,46,85,M,-62.19626714853917,-33.86218166595385,113.526527,BC,18/19,85,3,MAIZ TEMP,2
47,47,86,S,-62.198027102569064,-33.86679658668831,113.526527,BC,18/19,86,1,SOJA 1,0
48,48,88,S,-62.19506296946608,-33.86752725959644,116.922897,BC,18/19,88,1,SOJA 1,0
49,49,89,S,-62.20858682674844,-33.847989221964845,110.176811,BC,18/19,89,1,SOJA 1,0
50,50,92,S,-62.2176181697966,-33.85191257240996,111.287163,BC,18/19,92,1,SOJA 1,0
51,51,93,N,-62.211689903590624,-33.85898953318211,107.797485,BC,18/19,93,10,CAMPO NATURAL,8
52,52,94,N,-62.214005632577326,-33.863873832519786,107.797485,BC,18/19,94,10,CAMPO NATURAL,8
53,53,100,M,-62.16255013449271,-33.873410871384124,115.915184,BC,18/19,100,3,MAIZ TEMP,2
54,54,101,P,-62.15662186828674,-33.86956541939229,116.633652,BC,18/19,101,9,"FORRAJES, PASTURAS, VERDEOS",7
55,55,102,M,-62.158381822316635,-33.87425684757276,116.633652,BC,18/19,102,3,MAIZ TEMP,2
56,56,104,M,-62.15337984770537,-33.8746798325226,116.978882,BC,18/19,104,3,MAIZ TEMP,2
57,57,105,S,-62.19015362401425,-33.86337387770665,114.394279,BC,18/19,105,1,SOJA 1,0
58,58,106,S,-62.191311488507615,-33.86791182177305,114.394279,BC,18/19,106,1,SOJA 1,0
59,59,108,S,-62.185892682678706,-33.86914240909681,117.072189,BC,18/19,108,1,SOJA 1,0
60,60,109,R,-62.17741711458736,-33.866642760016056,111.688385,BC,18/19,109,8,SORGO,6
61,61,110,S,-62.179547585255136,-33.8702576135361,111.688385,BC,18/19,110,1,SOJA 1,0
62,62,112,S,-62.172554083715276,-33.87152662155488,114.049049,BC,18/19,112,1,SOJA 1,0
63,63,113,S,-62.07075463745968,-33.89413487386679,109.057129,BC,18/19,113,1,SOJA 1,0
64,64,115,M,-62.073487197664,-33.89021346366552,109.215752,BC,18/19,115,3,MAIZ TEMP,2
65,65,117,N,-62.07520083711415,-33.888137349980504,107.424255,BC,18/19,117,10,CAMPO NATURAL,8
66,66,118,N,-62.06913362716899,-33.885330671525004,107.424255,BC,18/19,118,10,CAMPO NATURAL,8
67,67,119,N,-62.077146049462996,-33.88521532659939,107.162994,BC,18/19,119,10,CAMPO NATURAL,8
68,68,120,P,-62.07154198531514,-33.88267769878109,107.162994,BC,18/19,120,9,"FORRAJES, PASTURAS, VERDEOS",7
69,69,121,S,-62.05366455753777,-33.912855199658644,110.298111,BC,18/19,121,1,SOJA 1,0
70,70,123,S,-62.05899073420719,-33.90755088406846,108.310669,BC,18/19,123,1,SOJA 1,0
71,71,126,S,-62.05843495925039,-33.899094046206876,112.07093799999998,BC,18/19,126,1,SOJA 1,0
72,72,128,S,-62.06024122786002,-33.897479463619646,112.79873700000002,BC,18/19,128,1,SOJA 1,0
73,73,129,M,-62.08180066472627,-33.85289338186664,108.021423,BC,18/19,129,3,MAIZ TEMP,2
74,74,130,M,-62.07841970040568,-33.85585497344607,108.021423,BC,18/19,130,3,MAIZ TEMP,2
75,75,132,S,-62.07381139972214,-33.85112407036686,108.889175,BC,18/19,132,1,SOJA 1,0
76,76,134,S,-62.070337806242044,-33.847816128824576,107.321617,BC,18/19,134,1,SOJA 1,0
77,77,136,S,-62.06779050435668,-33.84410415819903,106.13662,BC,18/19,136,1,SOJA 1,0
78,78,140,S,-62.07506189337495,-33.87771757193441,108.077408,BC,18/19,140,1,SOJA 1,0
79,79,143,M,-62.08474164053938,-33.87275715676789,105.42749,BC,18/19,143,3,MAIZ TEMP,2
80,80,144,S,-62.08261116987162,-33.8709113472958,105.42749,BC,18/19,144,1,SOJA 1,0
81,81,149,N,-62.09405087106593,-33.935145090274446,107.806816,BC,18/19,149,10,CAMPO NATURAL,8
82,82,150,N,-62.089326783933046,-33.93860334364879,107.806816,BC,18/19,150,10,CAMPO NATURAL,8
83,83,151,S,-62.08955835683172,-33.933454337505886,107.84413899999998,BC,18/19,151,1,SOJA 1,0
84,84,153,S,-62.11827339626688,-33.910126208953216,106.668472,BC,18/19,153,1,SOJA 1,0
85,85,159,S,-62.10535162852106,-33.92500007013646,110.148819,BC,18/19,159,1,SOJA 1,0
86,86,163,M,-62.06255695684671,-33.91888941814297,114.674202,BC,18/19,163,3,MAIZ TEMP,2
87,87,164,M,-62.05963913832347,-33.92273264664109,114.674202,BC,18/19,164,3,MAIZ TEMP,2
88,88,165,S,-62.05829601551118,-33.9167371344596,113.80645,BC,18/19,165,1,SOJA 1,0
89,89,166,S,-62.054451905393236,-33.92054202764304,113.80645,BC,18/19,166,1,SOJA 1,0
90,90,168,S,-62.05070042443479,-33.91915844978084,114.954124,BC,18/19,168,1,SOJA 1,0
91,91,169,S,-62.08738157158422,-33.93222467804372,109.831573,BC,18/19,169,1,SOJA 1,0
92,92,170,S,-62.08363009062575,-33.93552934758551,109.831573,BC,18/19,170,1,SOJA 1,0
93,93,172,S,-62.07918389097127,-33.932147823737786,115.719238,BC,18/19,172,1,SOJA 1,0
94,94,173,S,-62.07779445357925,-33.92695999774648,118.956993,BC,18/19,173,1,SOJA 1,0
95,95,174,S,-62.07478400589653,-33.92991901869586,118.956993,BC,18/19,174,1,SOJA 1,0
96,96,175,S,-62.07181987279355,-33.923462840456565,116.652313,BC,18/19,175,1,SOJA 1,0
97,97,176,S,-62.06922625632844,-33.927536438461274,116.652313,BC,18/19,176,1,SOJA 1,0
98,98,177,S,-61.996350265116774,-33.64507642496248,112.910706,BC,18/19,177,1,SOJA 1,0
99,99,179,M,-61.9999164877563,-33.642608791437866,115.187393,BC,18/19,179,3,MAIZ TEMP,2
100,100,181,M,-62.002834306279574,-33.6380203473418,118.033257,BC,18/19,181,3,MAIZ TEMP,2
101,101,183,M,-62.00487214778786,-33.634164322903835,117.230812,BC,18/19,183,3,MAIZ TEMP,2
102,102,185,M,-61.96735733820318,-33.68169704169648,110.708656,BC,18/19,185,3,MAIZ TEMP,2
103,103,186,S,-61.963189026027116,-33.679037753506066,110.708656,BC,18/19,186,1,SOJA 1,0
104,104,187,S,-61.98731892206862,-33.65698947291287,109.206421,BC,18/19,187,1,SOJA 1,0
105,105,188,S,-61.98213168913839,-33.655293217252286,109.206421,BC,18/19,188,1,SOJA 1,0
106,106,189,S,-61.98977359479453,-33.654445076883675,108.1987,BC,18/19,189,1,SOJA 1,0
107,107,191,S,-61.99283035705698,-33.65028135747624,107.85347,BC,18/19,191,1,SOJA 1,0
108,108,195,S,-62.014598209532025,-33.61129455079807,111.212517,BC,18/19,195,1,SOJA 1,0
109,109,196,S,-62.01066147025462,-33.608864521870565,111.212517,BC,18/19,196,1,SOJA 1,0
110,110,197,M,-62.020155959100116,-33.60419713133355,107.013702,BC,18/19,197,3,MAIZ TEMP,2
111,111,198,S,-62.0146908386915,-33.603117038019576,107.013702,BC,18/19,198,1,SOJA 1,0
112,112,199,M,-62.02177696939082,-33.601612599785845,106.556503,BC,18/19,199,3,MAIZ TEMP,2
113,113,200,S,-62.017238140576865,-33.59987667690087,106.556503,BC,18/19,200,1,SOJA 1,0
114,114,201,aa,-62.00755839341244,-33.63019243723589,119.36753799999998,BC,18/19,201,19,ALFALFA,11
115,115,202,S,-62.00260273338088,-33.627955760816576,119.36753799999998,BC,18/19,202,1,SOJA 1,0
116,116,203,aa,-62.00945729118153,-33.62722304384402,121.615204,BC,18/19,203,19,ALFALFA,11
117,117,205,S,-62.012050907646646,-33.62429211363415,121.700218,BC,18/19,205,1,SOJA 1,0
118,118,207,P,-62.012236165965604,-33.61596155708259,115.952507,BC,18/19,207,9,"FORRAJES, PASTURAS, VERDEOS",7
119,119,209,M,-62.03967755445807,-33.81980888823778,110.932594,BC,18/19,209,3,MAIZ TEMP,2
120,120,212,S,-62.03022938019231,-33.818308241396736,104.839653,BC,18/19,212,1,SOJA 1,0
121,121,213,S,-62.02617685446557,-33.81195905957564,104.438438,BC,18/19,213,1,SOJA 1,0
122,122,214,S,-62.02578318053782,-33.81580710481694,104.438438,BC,18/19,214,1,SOJA 1,0
123,123,215,S,-62.02177696939083,-33.809977248749014,107.10701,BC,18/19,215,1,SOJA 1,0
124,124,217,X,-62.0673505158492,-33.838564751905324,105.072922,BC,18/19,217,23,NO SABE,12
125,125,219,X,-62.05827285822134,-33.82750409930627,104.167847,BC,18/19,219,23,NO SABE,12
126,126,220,N,-62.05424348978445,-33.82963939762669,104.167847,BC,18/19,220,10,CAMPO NATURAL,8
127,127,221,N,-62.05051516611586,-33.82377200842254,109.07578999999998,BC,18/19,221,10,CAMPO NATURAL,8
128,128,222,N,-62.04935730162249,-33.826407574039074,109.07578999999998,BC,18/19,222,10,CAMPO NATURAL,8
129,129,224,N,-62.04474900093894,-33.82583044982896,110.055511,BC,18/19,224,10,CAMPO NATURAL,8
130,130,226,S,-62.01084672857359,-33.789579246979685,100.276947,BC,18/19,226,1,SOJA 1,0
131,131,227,X,-62.010454,-33.783648,95.07975,BC,18/19,227,23,NO SABE,12
132,132,228,S,-62.010454,-33.783648,95.07975,BC,18/19,228,1,SOJA 1,0
133,133,233,R,-62.016010804213934,-33.80695634198545,103.878593,BC,18/19,233,8,SORGO,6
134,134,234,S,-62.01411190644482,-33.809188359820546,103.878593,BC,18/19,234,1,SOJA 1,0
135,135,235,M,-62.00751207883271,-33.80266531655731,104.326469,BC,18/19,235,3,MAIZ TEMP,2
136,136,236,X,-62.007766809021255,-33.80605197335659,104.326469,BC,18/19,236,23,NO SABE,12
137,137,237,M,-62.00734997780365,-33.80135679962564,104.2145,BC,18/19,237,3,MAIZ TEMP,2
138,138,238,X,-62.00376059787426,-33.79937474322885,104.2145,BC,18/19,238,23,NO SABE,12
139,139,239,S,-62.01100882960265,-33.797873737940165,103.066826,BC,18/19,239,1,SOJA 1,0
140,140,242,S,-61.976434995831106,-33.57749943232254,104.261154,BC,18/19,242,1,SOJA 1,0
141,141,246,S,-61.97129407748063,-33.584328965406044,104.158516,BC,18/19,246,1,SOJA 1,0
142,142,249,M,-61.98282640783442,-33.558011070855926,105.810043,BC,18/19,249,3,MAIZ TEMP,2
143,143,251,M,-61.98060330800718,-33.560481126399935,104.904968,BC,18/19,251,3,MAIZ TEMP,2
144,144,256,S,-61.97773180406367,-33.573872228925964,99.978363,BC,18/19,256,1,SOJA 1,0
145,145,258,M,-61.979329657064504,-33.546132590743426,108.665237,BC,18/19,258,3,MAIZ TEMP,2
146,146,263,M,-61.95874282637267,-33.54101787623283,109.477005,BC,18/19,263,3,MAIZ TEMP,2
147,147,271,M,-61.984609519154176,-33.544646459613574,108.599922,BC,18/19,271,3,MAIZ TEMP,2
148,148,274,S,-62.030854627018726,-33.57807822727298,105.987328,BC,18/19,274,1,SOJA 1,0
149,149,276,S,-62.03460610797719,-33.57364070012989,103.682648,BC,18/19,276,1,SOJA 1,0
150,151,281,M,-62.026130539885855,-33.597253438242824,108.366653,BC,18/19,281,3,MAIZ TEMP,2
151,152,284,S,-62.02103593611509,-33.58822580140337,105.912682,BC,18/19,284,1,SOJA 1,0
152,153,285,S,-62.03187354777288,-33.58857303567473,110.120827,BC,18/19,285,1,SOJA 1,0
153,154,286,S,-62.025435821189824,-33.583750212376806,110.120827,BC,18/19,286,1,SOJA 1,0
154,155,287,S,-62.03493031003532,-33.58351871007823,105.632767,BC,18/19,287,1,SOJA 1,0
155,156,292,S,-61.99093145928789,-33.55256898049552,108.973152,BC,18/19,292,1,SOJA 1,0
156,157,293,S,-61.9875504949673,-33.551295250263394,110.307442,BC,18/19,293,1,SOJA 1,0
157,158,295,S,-61.98467899102378,-33.555270770336826,107.302956,BC,18/19,295,1,SOJA 1,0
158,159,297,S,-62.02140645275296,-33.562024875242706,110.130157,BC,18/19,297,1,SOJA 1,0
159,160,298,S,-62.01733076973635,-33.566501590836076,110.130157,BC,18/19,298,1,SOJA 1,0
160,161,301,S,-62.01177302016825,-33.55708478181532,107.61087,BC,18/19,301,1,SOJA 1,0
161,162,303,S,-62.00468688946892,-33.55411287075166,110.307442,BC,18/19,303,1,SOJA 1,0
162,163,306,N,-61.919444905468254,-33.67764063073843,103.066826,BC,18/19,306,10,CAMPO NATURAL,8
163,164,308,N,-61.92525738522489,-33.680377042984645,103.281425,BC,18/19,308,10,CAMPO NATURAL,8
164,165,309,M,-61.92497949774648,-33.55553129560459,109.644958,BC,18/19,309,3,MAIZ TEMP,2
165,166,310,X,-61.929217281792155,-33.557403194793466,109.644958,BC,18/19,310,23,NO SABE,12
166,167,316,M,-61.8962876156012,-33.60258663009955,107.536224,BC,18/19,316,3,MAIZ TEMP,2
167,168,318,S,-61.95691340047318,-33.54678879635486,107.554886,BC,18/19,318,1,SOJA 1,0
168,169,321,S,-61.94065698298649,-33.545071071115736,112.47216,BC,18/19,321,1,SOJA 1,0
169,170,322,X,-61.942833768233996,-33.54810119262814,112.47216,BC,18/19,322,23,NO SABE,12
170,171,323,S,-61.92984252861857,-33.54895037959495,110.232796,BC,18/19,323,1,SOJA 1,0
171,172,327,S,-61.89732969364521,-33.67041377128443,103.822609,BC,18/19,327,1,SOJA 1,0
172,173,328,M,-61.90013172571912,-33.66632791802778,103.822609,BC,18/19,328,3,MAIZ TEMP,2
173,174,329,S,-61.90073381525567,-33.67369002282455,104.755676,BC,18/19,329,1,SOJA 1,0
174,175,330,S,-61.90501791388108,-33.670124684274136,104.755676,BC,18/19,330,1,SOJA 1,0
175,176,331,S,-61.90693996894005,-33.67686979466611,104.513077,BC,18/19,331,1,SOJA 1,0
176,177,333,S,-61.86988830515273,-33.6255358429082,102.049774,BC,18/19,333,1,SOJA 1,0
177,178,340,M,-61.885565790392725,-33.65879170791608,105.42749,BC,18/19,340,3,MAIZ TEMP,2
178,179,342,M,-61.79064405922764,-33.846546768413674,100.332932,BC,18/19,342,3,MAIZ TEMP,2
179,180,345,S,-61.806344701757524,-33.87473751212604,92.924362,BC,18/19,345,1,SOJA 1,0
180,181,346,S,-61.810837215991725,-33.872622567842996,92.924362,BC,18/19,346,1,SOJA 1,0
181,182,347,S,-61.72209848122111,-33.839584183495695,105.455482,BC,18/19,347,1,SOJA 1,0
182,183,348,S,-61.72311740197527,-33.84404645790088,105.455482,BC,18/19,348,1,SOJA 1,0
183,184,349,S,-61.70764833234409,-33.842315430838674,103.328079,BC,18/19,349,1,SOJA 1,0
184,185,350,M,-61.7084819947793,-33.84635443943345,103.328079,BC,18/19,350,3,MAIZ TEMP,2
185,186,353,M,-61.70838936561982,-33.838545517230116,101.349976,BC,18/19,353,3,MAIZ TEMP,2
186,187,360,S,-61.74984091448188,-33.8381223532806,102.049774,BC,18/19,360,1,SOJA 1,0
187,188,361,S,-61.73904961740382,-33.83773765696285,102.628281,BC,18/19,361,1,SOJA 1,0
188,189,362,S,-61.739744336099825,-33.84019968347403,102.628281,BC,18/19,362,1,SOJA 1,0
189,190,364,S,-61.90860729381047,-33.809457737345674,106.98571,BC,18/19,364,1,SOJA 1,0
190,191,366,S,-61.89985383824073,-33.81099702121874,104.737015,BC,18/19,366,1,SOJA 1,0
191,192,367,M,-61.88683944133543,-33.80968863169215,101.452614,BC,18/19,367,3,MAIZ TEMP,2
192,193,368,S,-61.89031303481549,-33.81334437580361,101.452614,BC,18/19,368,1,SOJA 1,0
193,194,370,S,-61.87669654837367,-33.814999029675015,100.519547,BC,18/19,370,1,SOJA 1,0
194,195,375,S,-61.937345490535506,-33.797161713406226,101.219345,BC,18/19,375,1,SOJA 1,0
195,196,377,S,-61.91953753462774,-33.80418548022191,105.651428,BC,18/19,377,1,SOJA 1,0
196,197,378,S,-61.92000068042507,-33.806032731367004,105.651428,BC,18/19,378,1,SOJA 1,0
197,198,379,M,-61.80087958134889,-33.825080182532155,103.440048,BC,18/19,379,3,MAIZ TEMP,2
198,199,382,M,-61.79383976522929,-33.830889772785184,103.216118,BC,18/19,382,3,MAIZ TEMP,2
199,200,386,s,-61.78397475974593,-33.834890850394146,104.662369,BC,18/19,386,2,SOJA 2,1
200,201,388,S,-61.8706293384285,-33.815807104816926,96.619316,BC,18/19,388,1,SOJA 1,0
201,202,391,S,-61.827186262637866,-33.81992432151954,105.418159,BC,18/19,391,1,SOJA 1,0
202,203,394,M,-61.81653390929902,-33.82623443718505,103.524025,BC,18/19,394,3,MAIZ TEMP,2
203,204,396,M,-61.699358022571666,-33.776240944475624,97.766991,BC,18/19,396,3,MAIZ TEMP,2
204,205,399,M,-61.695699170772656,-33.76757859673393,98.177544,BC,18/19,399,3,MAIZ TEMP,2
205,206,400,S,-61.69217926271287,-33.77273761153162,98.177544,BC,18/19,400,1,SOJA 1,0
206,207,401,M,-61.6900487920451,-33.764729455431315,98.168213,BC,18/19,401,3,MAIZ TEMP,2
207,208,402,M,-61.68685308604346,-33.769503638583544,98.168213,BC,18/19,402,3,MAIZ TEMP,2
208,209,404,S,-61.72297845823609,-33.788828661744716,101.919151,BC,18/19,404,1,SOJA 1,0
209,210,407,M,-61.715799698377296,-33.77966714251294,100.706161,BC,18/19,407,3,MAIZ TEMP,2
210,211,409,S,-61.70908408431584,-33.775009019552044,98.168213,BC,18/19,409,1,SOJA 1,0
211,212,411,M,-61.65786015912989,-33.74736304655037,94.91179699999999,BC,18/19,411,3,MAIZ TEMP,2
212,213,413,M,-61.652858184518614,-33.74462876812374,94.351959,BC,18/19,413,3,MAIZ TEMP,2
213,214,414,S,-61.647624637008654,-33.748710898202674,94.351959,BC,18/19,414,1,SOJA 1,0
214,215,415,S,-61.64535522260168,-33.74039238996242,95.872856,BC,18/19,415,1,SOJA 1,0
215,216,416,S,-61.64132585416481,-33.74451323331296,95.872856,BC,18/19,416,1,SOJA 1,0
216,217,417,S,-61.64039956257012,-33.737850462634604,94.613213,BC,18/19,417,1,SOJA 1,0
217,218,419,S,-61.6828237176066,-33.76060958361329,97.822975,BC,18/19,419,1,SOJA 1,0
218,219,420,S,-61.67786805757503,-33.765037475273964,97.822975,BC,18/19,420,1,SOJA 1,0
219,220,421,S,-61.67578390148699,-33.75722112941229,98.065575,BC,18/19,421,1,SOJA 1,0
220,221,422,R,-61.67268082464482,-33.76091761826243,98.065575,BC,18/19,422,8,SORGO,6
221,222,423,S,-61.672125049688,-33.75448716532757,99.922379,BC,18/19,423,1,SOJA 1,0
222,223,424,R,-61.66883671452688,-33.75899238354381,99.922379,BC,18/19,424,8,SORGO,6
223,224,425,S,-61.66258424626277,-33.74978916427142,96.964554,BC,18/19,425,1,SOJA 1,0
224,225,427,M,-61.71691124829089,-33.829312373414396,97.085846,BC,18/19,427,3,MAIZ TEMP,2
225,226,429,M,-61.719551179335745,-33.826080537464925,95.966164,BC,18/19,429,3,MAIZ TEMP,2
226,227,430,S,-61.71589232753674,-33.823541152090364,95.966164,BC,18/19,430,1,SOJA 1,0
227,228,432,M,-61.718578573161324,-33.81907780716845,97.916283,BC,18/19,432,3,MAIZ TEMP,2
228,229,433,P,-61.727517287050006,-33.81673060991713,95.807549,BC,18/19,433,9,"FORRAJES, PASTURAS, VERDEOS",7
229,230,435,P,-61.7090377697361,-33.837660717491524,101.788521,BC,18/19,435,9,"FORRAJES, PASTURAS, VERDEOS",7
230,231,436,M,-61.70611995121286,-33.83542944269318,101.788521,BC,18/19,436,3,MAIZ TEMP,2
231,232,437,S,-61.71079772376599,-33.836622027849245,103.83194,BC,18/19,437,1,SOJA 1,0
232,233,438,M,-61.70755570318462,-33.83431378345054,103.83194,BC,18/19,438,3,MAIZ TEMP,2
233,234,439,M,-61.71232610489722,-33.83462155297195,103.449379,BC,18/19,439,3,MAIZ TEMP,2
234,235,440,M,-61.70806516356168,-33.833236581398786,103.449379,BC,18/19,440,3,MAIZ TEMP,2
235,236,441,M,-61.71385448602845,-33.83335199655364,101.079384,BC,18/19,441,3,MAIZ TEMP,2
236,237,442,S,-61.71028826338892,-33.83115908196409,101.079384,BC,18/19,442,1,SOJA 1,0
237,238,443,G,-61.73613179888056,-33.804070025701286,103.496033,BC,18/19,443,7,GIRASOL,5
238,239,444,S,-61.733028722038384,-33.8021457607587,103.496033,BC,18/19,444,1,SOJA 1,0
239,240,446,S,-61.73423290111146,-33.800567831219304,103.038834,BC,18/19,446,1,SOJA 1,0
240,241,447,S,-61.737335977953656,-33.7921003953677,106.164612,BC,18/19,447,1,SOJA 1,0
241,242,449,S,-61.731592970066615,-33.787904855499875,102.077766,BC,18/19,449,1,SOJA 1,0
242,243,450,M,-61.72913829734071,-33.790714735213236,102.077766,BC,18/19,450,3,MAIZ TEMP,2
243,244,455,m,-61.733908699053316,-33.80784145947295,98.840019,BC,18/19,455,4,MAIZ TARD O 2DA,3
244,245,457,S,-61.73557602392375,-33.805724858945425,102.964188,BC,18/19,457,1,SOJA 1,0
245,246,458,S,-61.731685599226076,-33.803608206061156,102.964188,BC,18/19,458,1,SOJA 1,0
246,247,463,P,-61.4090350795082,-33.64451735793893,79.040291,BC,18/19,463,9,"FORRAJES, PASTURAS, VERDEOS",7
247,248,466,P,-61.3989153438363,-33.64399684399826,78.974976,BC,18/19,466,9,"FORRAJES, PASTURAS, VERDEOS",7
248,249,468,S,-61.54976193003039,-33.684799440623,101.452614,BC,18/19,468,1,SOJA 1,0
249,250,469,S,-61.54647359486928,-33.67720703629805,100.071671,BC,18/19,469,1,SOJA 1,0
250,251,472,S,-61.536469645646704,-33.680251786579625,92.849716,BC,18/19,472,1,SOJA 1,0
251,252,473,X,-61.52113951975471,-33.671232845870236,82.856544,BC,18/19,473,23,NO SABE,12
252,253,475,S,-61.36332258931062,-33.62490915985921,95.266365,BC,18/19,475,1,SOJA 1,0
253,254,477,S,-61.35183657353655,-33.62082114627712,95.499634,BC,18/19,477,1,SOJA 1,0
254,255,478,S,-61.349891361187716,-33.62359793134861,95.499634,BC,18/19,478,1,SOJA 1,0
255,256,479,S,-61.34831666547677,-33.618892770662605,96.843254,BC,18/19,479,1,SOJA 1,0
256,257,480,S,-61.34595462191032,-33.62174675124383,96.843254,BC,18/19,480,1,SOJA 1,0
257,258,481,S,-61.34113790561796,-33.616964351895234,98.905334,BC,18/19,481,1,SOJA 1,0
258,259,483,P,-61.398845871966685,-33.638887929046014,82.59528399999998,BC,18/19,483,9,"FORRAJES, PASTURAS, VERDEOS",7
259,260,487,R,-61.38124633166772,-33.62945973928785,91.095543,BC,18/19,487,8,SORGO,6
260,261,488,R,-61.37837482772421,-33.63466561584435,91.095543,BC,18/19,488,8,SORGO,6
261,262,490,S,-61.36804667644349,-33.63069375329364,92.691093,BC,18/19,490,1,SOJA 1,0
